index,V1_0-4,V1_5-15,V1_16-19,V1_20-59,V1_60+,V1_Risk_16-19,V1_Risk_20-59,V1_Risk_60+,V1_Clinical,V1_Crowded,V1_Disabled,V1_Edu,V1_Ethnic,V1_Factory,V1_Frontline,V1_Healthcare,V1_Military,V1_Shielding,V1_Police,V1_Pregnant,V1_PrimaryStu,V1_Religious,V1_Residents,V1_CareStaff,V1_TertiaryStu,V3_0-4,V3_5-19,V3_20-59,V3_60+,V3_Risk_16-19,V3_Risk_20-59,V3_Risk_60+,V3_Airport,V3_Clinically,V3_EduStu,V3_HighContact,V3_Multi,V3_Pregnant,V3_PrimaryStu,V1_IssuePoint,V2_H7_IssuePoint,V3_IssuePoint,VacCategory,VacDailySmoothed,CHI,GRI,SI,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,weekly_cases,biweekly_cases,reproduction_rate,daily_ people_1_dose,total_vaccinations,people_1_dose,people_2_doses,people_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
20210222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,63.63,63.49,61.57,10,9.143,0,0,64,132,0.82,,,,,,,,
20210223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,63.63,63.49,61.57,12,9.857,0,0,69,130,0.86,,,,,,,,
20210224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,63.63,63.49,61.57,7,9.286,0,0,65,135,0.89,,,,,,,,
20210225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,63.63,63.49,61.57,6,8.714,0,0,61,129,0.92,,,,,,,,
20210226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,63.63,63.49,61.57,10,9,0,0,63,131,0.97,,,,,,,,
20210227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,63.63,63.49,61.57,6,8.857,0,0,62,130,1,,,,,,,,
20210228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,63.63,63.49,61.57,19,10,0,0,70,140,0.99,,52520000,,,,,,
20210301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,668496,60.06,60.36,56.02,11,10.143,0,0,71,135,0.95,,,,,,,,
20210302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,705414,60.06,60.36,56.02,10,9.857,0,0,69,138,0.93,,,,,,,,
20210303,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,1,2,1,,742331,61.49,61.61,56.02,10,10.286,0,0,72,137,0.92,,,,,,,,
20210304,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,,,,,779248,61.49,61.61,56.02,9,10.714,0,0,75,136,0.91,,,,,,,,
20210305,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,,,,,816165,61.49,61.61,56.02,10,10.714,0,0,75,138,0.91,,,,,,,,
